overlap 1311877977.913521548.pcd 1311877978.413261704.pcd 1311877978.913364175.pcd 1311877979.413486189.pcd 1311877979.913186829.pcd 1311877980.413271843.pcd 1311877980.913449772.pcd 1311877981.413966332.pcd 1311877981.913490229.pcd 1311877982.413358758.pcd 1311877982.913720969.pcd 1311877983.413326192.pcd 1311877983.913158829.pcd 1311877984.413260991.pcd 1311877984.913448964.pcd 1311877985.413186340.pcd 1311877985.913466362.pcd 1311877986.413805624.pcd 1311877986.913399450.pcd 1311877987.413251256.pcd 1311877987.913317487.pcd 1311877988.413341687.pcd 1311877988.913144100.pcd 1311877989.413183667.pcd 1311877990.045910435.pcd 1311877990.613360845.pcd 1311877991.381472609.pcd 1311877992.145355200.pcd 1311877992.915204959.pcd 1311877993.515915455.pcd 1311877994.245272196.pcd 1311877994.851547682.pcd 1311877995.482895018.pcd 1311877996.149588245.pcd 1311877996.881722927.pcd 1311877997.413414901.pcd 1311877997.913031100.pcd 1311877998.413085025.pcd 1311877998.913084884.pcd 1311877999.413111309.pcd 1311877999.912887758.pcd 1311878000.413021376.pcd 1311878000.913078958.pcd 1311878001.412900789.pcd 1311878001.913061553.pcd 1311878002.413051547.pcd 1311878002.912842635.pcd 1311878003.412829146.pcd 1311878003.916859696.pcd 1311878004.416857264.pcd 1311878004.916798830.pcd 1311878005.416898313.pcd 1311878005.916916207.pcd 1311878006.416765302.pcd 1311878006.916911054.pcd 1311878007.416739415.pcd 1311878007.916757408.pcd 1311878008.416883803.pcd 1311878008.916832658.pcd 1311878009.416624944.pcd 1311878009.916847863.pcd 1311878010.416760630.pcd 1311878010.916860226.pcd 1311878011.416686707.pcd 1311878011.916757612.pcd 1311878012.416841708.pcd 1311878012.916702147.pcd 1311878013.416594433.pcd 1311878013.916760920.pcd 1311878014.416698005.pcd 1311878014.916627300.pcd 1311878015.416753850.pcd 1311878015.916479078.pcd 1311878016.416706986.pcd 1311878016.916756461.pcd 1311878017.416621070.pcd 1311878017.916603725.pcd 1311878018.416634987.pcd 1311878018.916738987.pcd 1311878019.416709866.pcd 1311878019.916992351.pcd 1311878020.416806468.pcd 1311878020.917095002.pcd 1311878021.416795219.pcd 1311878021.918300567.pcd 1311878022.416870637.pcd 1311878022.916648841.pcd 1311878023.416579397.pcd 1311878023.916636780.pcd 1311878024.416954902.pcd 1311878024.919119424.pcd 1311878025.453110329.pcd 1311878025.952578753.pcd 1311878026.485283138.pcd 1311878027.252252402.pcd 1311878028.016929111.pcd 1311878028.785896213.pcd 1311878029.416843446.pcd 1311878029.918437257.pcd 1311878030.484353143.pcd 1311878031.020700170.pcd 1311878031.522514648.pcd 1311878032.020372911.pcd 1311878032.521522728.pcd 1311878033.052407257.pcd 1311878033.552322017.pcd 1311878036.751372637.pcd 1311878039.133184373.pcd 1311878040.130379780.pcd 1311878041.165624176.pcd 1311878042.301372353.pcd 1311878043.633576253.pcd 1311878044.873444295.pcd 1311878045.971172342.pcd 1311878047.105261052.pcd 1311878048.509209765.pcd 1311878049.976938677.pcd 1311878050.973596303.pcd 1311878052.113141470.pcd 1311878053.312896779.pcd 1311878054.610020637.pcd 1311878056.016844596.pcd 1311878057.483865679.pcd 1311878058.881670570.pcd 1311878059.920997722.pcd 1311878060.985125888.pcd 1311878062.689146021.pcd 1311878064.154318074.pcd 1311878066.028658109.pcd 1311878067.892915939.pcd 1311878069.630109597.pcd 1311878070.695859772.pcd 1311878071.764567719.pcd 1311878072.900498172.pcd 1311878073.836115400.pcd 1311878074.904122485.pcd 1311878076.104343784.pcd 1311878077.502955767.pcd 1311878078.472421449.pcd 1311878079.440795390.pcd 1311878080.540485521.pcd 1311878081.743486715.pcd 1311878082.710759201.pcd 1311878084.009107291.pcd 1311878084.976197947.pcd 1311878087.124652811.pcd 1311878087.624133648.pcd 1311878088.124396737.pcd output.pcd 
1311877977.913521548.pcd 1.0 0.21519084123055873 0.3348262610410253 0.20904609565199894 0.13795295869298405 0.09282710609444478 0.049942657089394576 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.016249170036820186 0.005042152069374862 5.633689462988672e-05 3.6216575119212894e-05 8.450534194483008e-05 0.007146737490191344 7.645721414056055e-05 0.021307418361803585 0.00747268666626426 0.0037343313011810628 0.19345687209512888 0.16257218164624454 0.02760910243254663 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
1311877978.413261704.pcd 0.21348527574375578 1.0 0.3653155087246972 0.18633833489994933 0.1028628456709178 0.0818160367323098 0.047230571060541 0.0420781451266638 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.01872202816814238 0.010146256174594517 3.8681876380459465e-05 2.7077313466321624e-05 2.3209125828275677e-05 0.015461145989269648 0.001941830194299065 0.06429314673196167 0.044588598903755626 0.039320127340737046 0.09701801414983038 0.2327179046801202 0.0022474170177046947 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
1311877978.913364175.pcd 0.32674319157177756 0.3553077167939312 1.0 0.3511618720349156 0.2508868886221298 0.1898727866136387 0.13406687811369816 0.12829491108102614 0.04831193934257104 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.02049911215257936 0.002899406695481758 0.0011697341827009737 0.00020326528420705446 0.00041036576245575147 0.003286761293687654 0.0004678936730803895 0.041746087143279015 0.007919675695991838 0.0011889101529091865 0.1815235691849829 0.1690975404900611 0.0023586443356101603 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
1311877979.413486189.pcd 0.19059051099634156 0.1668813817200396 0.34413025112104195 1.0 0.3957192062296674 0.24523389923811198 0.1495754758455122 0.14986218734111403 0.09734428698673864 0.03214991570682029 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.017470287132005796 0.0004090417337252998 0.0010856808633456555 0.0005466632516141857 0.0003822819941357942 0.000592537090910481 0.0003249396950154251 0.02755106331736669 0.002588049100299327 6.498793900308501e-05 0.22600511493308154 0.03814409737486955 3.822819941357942e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
1311877979.913186829.pcd 0.1248268413962594 0.0918169918677469 0.2344348065012231 0.4013806894288342 1.0 0.4697015375339162 0.3175204069561103 0.17183820975946695 0.07451830424777613 0.08800082429219631 0.03447907404509947 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.012246081749941804 0.00027858023301519216 0.0009082478829810375 0.0006983586663257557 0.00022515388695748407 0.000976938899340948 0.0007021748339013063 0.011326385364234115 0.0009464095587365432 2.2897005453303466e-05 0.233484580774911 0.003197948428311384 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
1311877980.413271843.pcd 0.08902874612607736 0.07572494291562949 0.17990248960283 0.2446679957763284 0.46933835497901505 1.0 0.4924770614224015 0.21104253786247146 0.08166400463536524 0.13868738349642246 0.08684448273364566 0.03497108614689076 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.010341896306574519 0.000255402525816621 0.000583232633581239 0.000598480545570291 0.000331642085761881 0.000613728457559343 0.000415505601701667 0.009781535540976858 0.0021995113044207507 0.000194410877860413 0.21211751565769962 0.003198249539703657 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9059889986315e-05 4.9555713964418994e-05 0.0 1.0 
1311877980.913449772.pcd 0.047358952024860505 0.04489039850593556 0.12720467693899365 0.1454316545394379 0.3193943105356647 0.49385904521370677 1.0 0.3444107612197469 0.11880626989772049 0.18581095216179105 0.13271232793345175 0.07984952854051053 0.022544093538779873 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0073790351721331115 0.00046404241804136066 0.0007569216491002522 0.00026625384641717413 0.0011334806604616841 0.0006846527479298763 0.00046784604441874885 0.011095178142841385 0.0024000882441319554 0.0 0.17962245204578045 0.0002015921980015747 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
1311877981.413966332.pcd 0.0 0.04230834061202286 0.1302119247919827 0.1533313412709358 0.18414701420493726 0.22603395700209933 0.35232305122665075 1.0 0.4347982653733585 0.2561524080969675 0.17920516710338805 0.07450696455661288 0.0871259136670804 0.037898987112888645 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.009060053019506888 0.00021069890743039273 0.0006435893899691997 9.194134142417138e-05 0.0005401553808670068 0.000789163180557471 0.0006550820576472211 0.056762285661747805 0.008178948497525245 0.0 0.13686234848833112 2.6816224582049984e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
1311877981.913490229.pcd 0.0 0.0 0.04890592605885205 0.10053033282298185 0.07940865408478452 0.09004203718056897 0.12724551469774084 0.43648033110484097 1.0 0.3390044709844184 0.22569116990122598 0.08974422609206945 0.1473821259893628 0.09598680467792495 0.040807755306191795 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.004604617599108094 0.00024435781620474133 0.0005459869955824688 0.0 0.0 0.00016035981688436148 0.00011454272634597249 0.08572377639732581 0.015627445964468845 0.0 0.06749239245392519 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0 
1311877982.413358758.pcd 0.0 0.0 0.0 0.034579657807066976 0.09247566581175938 0.1489033801423823 0.20126740963093306 0.26243736749895535 0.34404459319064434 1.0 0.41864771302717685 0.22159733483613 0.19490352582165024 0.13704585446641135 0.10588582579059755 0.028878998033329883 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0002491882214478219 7.667329890702213e-05 0.0 0.0 0.0 7.667329890702213e-06 1.1500994836053319e-05 0.040046464019137654 0.001993505771582575 0.0 0.07045509436566263 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.6835654617457744e-05 0.0 0.0 1.0 
