overlap box_met_000.pcd box_met_001.pcd box_met_002.pcd box_met_003.pcd box_met_004.pcd box_met_005.pcd box_met_006.pcd box_met_007.pcd box_met_008.pcd box_met_009.pcd box_met_010.pcd box_met_011.pcd box_met_012.pcd box_met_013.pcd box_met_014.pcd box_met_015.pcd box_met_016.pcd box_met_017.pcd box_met_018.pcd box_met_019.pcd box_met_020.pcd box_met_021.pcd box_met_022.pcd box_met_023.pcd box_met_024.pcd box_met_025.pcd box_met_026.pcd box_met_027.pcd box_met_028.pcd box_met_029.pcd box_met_030.pcd box_met_031.pcd box_met_032.pcd box_met_033.pcd box_met_034.pcd box_met_035.pcd box_met_036.pcd box_met_037.pcd box_met_038.pcd box_met_039.pcd box_met_040.pcd box_met_041.pcd box_met_042.pcd box_met_043.pcd box_met_044.pcd box_met_045.pcd box_met_046.pcd box_met_047.pcd box_met_048.pcd box_met_049.pcd box_met_050.pcd box_met_051.pcd box_met_052.pcd box_met_053.pcd box_met_054.pcd box_met_055.pcd box_met_056.pcd box_met_057.pcd box_met_058.pcd box_met_059.pcd box_met_060.pcd box_met_061.pcd box_met_062.pcd box_met_063.pcd box_met_064.pcd box_met_065.pcd box_met_066.pcd box_met_067.pcd box_met_068.pcd box_met_069.pcd box_met_070.pcd box_met_071.pcd box_met_072.pcd box_met_073.pcd box_met_074.pcd box_met_075.pcd box_met_076.pcd box_met_077.pcd box_met_078.pcd box_met_079.pcd box_met_080.pcd box_met_081.pcd box_met_082.pcd box_met_083.pcd box_met_084.pcd box_met_085.pcd box_met_086.pcd box_met_087.pcd box_met_088.pcd box_met_089.pcd box_met_090.pcd box_met_091.pcd box_met_092.pcd box_met_093.pcd box_met_094.pcd box_met_095.pcd box_met_096.pcd box_met_097.pcd box_met_098.pcd box_met_099.pcd box_met_100.pcd box_met_101.pcd box_met_102.pcd box_met_103.pcd box_met_104.pcd box_met_105.pcd box_met_106.pcd box_met_107.pcd box_met_108.pcd box_met_109.pcd box_met_110.pcd box_met_111.pcd 
box_met_000.pcd 1.0 0.884433689305066 0.2753222157925193 0.011420905886685255 0.001183649850071019 0.00029985796201799147 0.005002893366300174 0.8192224735651533 0.9563785575253827 0.3860960597611658 0.4008048818980483 0.0037824188542269453 0.0021726550581303594 0.0007680572360460834 4.734599400284076e-05 0.0 0.0 0.0 0.0 0.0 1.052133200063128e-05 5.26066600031564e-05 0.00017886264401073177 0.00029985796201799147 0.001020569204061234 0.00019464464201167869 0.007080856436424851 0.03445736230206744 0.34357409648061443 0.943416276500605 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.6916618443894997 0.9411752327844705 0.9063075385343784 0.6759482350465569 0.03305802514598348 0.0010836971960650219 0.0 0.0 0.0016465884580987953 0.02052711873323163 0.18552790783313167 0.7556946709453417 
box_met_001.pcd 0.9169607474855429 1.0 0.9457268778405032 0.4879925082139815 0.03127397397979969 0.019232091933103008 0.09325580534054294 0.9655832852751486 0.889490865417683 0.05911421270111689 0.7045717883464634 0.035046321035728835 0.04779188072399435 0.02920526752977403 0.012597417026882602 0.0 0.0 0.0 0.0008888559682974704 0.0008518203029517426 0.00044971879348383923 0.00013227023337759978 0.0007724581629251826 0.0021639410180575324 0.009692762701910511 7.407133069145587e-05 6.348971202124788e-05 0.0005184993148401911 0.008465294936166386 0.4518404080272159 0.0 0.0 0.0 0.0 0.0 0.0 0.00021163237340415963 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.002984016464998651 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.08240435539424466 0.8043141259318438 0.9437375335305042 0.9513880438290645 0.7340945044363436 0.02330601512113308 0.0 0.0 0.024067891665388055 0.3184326506425688 0.7521679091250588 0.607686487802039 
box_met_002.pcd 0.21931543160078368 0.9406005427095666 1.0 0.9576204595220384 0.728378052741312 0.5919934623403564 0.4716072794325647 0.930348779951177 0.21319685270359467 0.00785252548534789 0.1698639035276122 0.07331817657967249 0.505458526721636 0.47253973409326644 0.18239441784445817 0.002760694416796756 0.0 0.0012572422391484278 0.008004442255911657 0.00923549194841116 0.004840382620721447 0.00013096273324462792 0.0006548136662231396 0.0039026894506899116 0.06661812314687733 5.762360262763628e-05 0.0 0.0 0.00021477888252118978 0.01346296897754775 0.0 0.0 0.0 9.42931679361321e-05 0.0 0.0 0.009507894433559986 0.0002776409944786112 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.619254664892558e-05 0.0025930621182436325 0.04366821377308873 0.004080798767902605 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.007019602501912056 0.09368550085387702 0.5351503976028581 0.8758054208094544 0.9520990706884449 0.5796672498873721 0.0 0.0 0.31830230389640324 0.6781040787033642 0.4784330570892747 0.06017999518057142 
box_met_003.pcd 0.009146107140112212 0.5858273768349858 0.9478082648015782 1.0 0.9635436681782081 0.9330822637255656 0.8840775753849307 0.5010119642353905 0.010283606179386673 0.0020188046012348526 0.0182717188020393 0.025957523121461327 0.4224425486127123 0.6417441651935542 0.8092946993569544 0.024732918299900084 0.0017472395152819409 0.004011989854738298 0.010637153178080085 0.00841851766454026 0.0038992647247201085 3.074321727768811e-05 0.00012297286911075244 0.002126405861706761 0.017006123024107807 0.0 0.0 0.0 0.0 0.0006148643455537622 0.0 0.0 0.0 2.561934773140676e-05 5.636256500909487e-05 0.0 0.07970179079240643 0.004826685112597033 0.00020495478185125407 0.0 0.0 0.0 0.0 0.0 7.173417364793892e-05 0.0022391309917249506 0.023677401173366128 0.834893551610176 0.06587246688699305 0.004611482591653216 0.0 0.00028181282504547437 0.0001383444777495965 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00016396382548100326 0.005626008761816924 0.03111725975456665 0.44870238003740426 0.9135603207542335 0.9075141546896216 0.0 0.0 0.5588911946301847 0.42650065329336717 0.03648195116952323 0.005339072067225168 
box_met_004.pcd 0.0013280952984412622 0.040025345330122926 0.6481003675072868 0.9772551007476873 1.0 0.9559903687745532 0.6691116461791915 0.03647193004688886 0.0017133443163097198 0.0 0.0038981117729058423 0.00763908249904955 0.057762007350145736 0.4803092130274997 0.8699379039411989 0.10524394880243315 0.005702699277658091 0.007147383094664808 0.007010518312001014 0.004045114687618806 0.0012368521099987327 0.0 0.0 0.0007299455075402357 0.0046381954124952475 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.0414396147509823e-05 0.16007603599036876 0.0032036497275377013 0.00031935115954885313 0.0 0.0 0.0 0.0 0.0 0.001875554429096439 0.005596248891141807 0.25380813585096945 0.8752097326067672 0.08152578887340008 0.014315042453427957 0.0002737295653275884 0.0024686351539728803 0.0002179698390571537 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00031935115954885313 0.005875047522493981 0.048267646686098085 0.758570523381067 0.8908883538208086 0.0 1.5207198073754911e-05 0.5184184514003295 0.101447218350019 0.011572677734127486 0.0007806361677860854 
box_met_005.pcd 0.00031156785028398646 0.02082907694193601 0.4954184202999224 0.9391574388101173 0.962484166224002 1.0 0.23873248069300862 0.05542843133248886 0.0016753156539860254 0.0004903362889715196 0.009219343766599927 0.027392432476606873 0.36545376537408575 0.8717923834429779 0.9752839864340294 0.7229191353736771 0.03511012135823152 0.05885057001593593 0.0412444326400523 0.021865933886323703 0.007876026641605034 0.0004494749315572263 0.0 0.0021758672823111182 0.01345360192865607 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.00034732153802149307 0.0012820250888734524 0.002150328933927185 0.0024006047480897314 0.008468516324112286 0.0003983982347893597 0.0 0.0 0.0 0.0 0.0 5.618436644465329e-05 0.0010623952927716258 0.04753708168185347 0.6773791525354472 0.6822314387283945 0.7569413230907531 0.10666346586033588 0.0015629469210967188 0.0016651003146324521 0.003018632778980918 0.00013279941159645322 0.0 0.0 5.107669676786663e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.5538348383933313e-05 0.0 5.107669676786663e-06 0.0016855309933395987 0.013233972132554244 0.1617650063335104 0.5506987292117844 5.107669676786663e-06 5.1076696767866626e-05 0.02823519797327667 0.012166469170105831 0.001925591468148572 0.0 
box_met_006.pcd 0.00295171941546618 0.480538883326676 0.5456219620374645 0.5770896772821356 0.26418148146226833 0.36643339956113274 1.0 0.6837977060626969 0.015739045178425993 0.0026715913865818673 0.06348531143492989 0.39995019946153165 0.4756003299285674 0.5440190072055154 0.5987373488475844 0.009488040089433467 0.0007988836379293351 0.0018312072999289305 0.04035399882761232 0.003952917740923074 0.0009545103206428419 0.0002593778045225114 0.0006588196234871789 0.01070711577068927 0.23889214552132346 3.1125336542701365e-05 0.0 0.0 0.0 0.00041500448723601825 0.0 1.0375112180900457e-05 2.593778045225114e-05 5.187556090450228e-06 6.743822917585296e-05 7.781334135675342e-05 0.0040826066431843295 5.187556090450228e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 7.781334135675342e-05 0.0039010421800185716 0.03242222556531393 0.010333611732176853 0.001068636554632747 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.000295690697155663 0.003548288365867956 0.008305277300810815 0.23645399415881185 0.36586276839118326 0.1252379791356494 0.0 0.0 0.030974897416078312 0.02888431231162687 0.00613687885500262 0.002215086450622247 
box_met_007.pcd 0.41915463405206926 0.8964136826702741 0.8950553546285304 0.5466276469451423 0.04068358134783689 0.06450953866541509 0.05576875293338119 1.0 0.7814969216752713 0.4673311062643218 0.9160983959581458 0.6747356505894371 0.6616327544794456 0.5133706965572458 0.0857347947323376 0.00030921288755142044 0.0 0.0033958201043593496 0.020054664421192126 0.02329035642306949 0.022119764777339113 0.03092681041384832 0.0582093260815549 0.07920267248281383 0.22460451119516303 0.00484801634410977 0.00036995113332044944 0.0005356008945087104 0.005096490985892162 0.08834653930040584 0.00012147649153805803 0.001678584246707711 0.0029043924795008422 0.0009552469561856381 0.0002208663482510146 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001314154772093537 8.282488059413047e-05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.011324922006570775 0.09223930868832997 0.5080257309295713 0.5019684713287872 0.13915132105684547 0.015267386322851385 0.0 0.0 0.007332762761933685 0.02765246680102703 0.04447143922034179 0.03143480301482565 
box_met_008.pcd 0.944741173704189 0.7570347229220554 0.15389611116709775 0.010071998835477622 0.0015676262778953497 0.0014500543070531985 0.002536195371023548 0.8173883346210263 1.0 0.9103765662266116 0.8239107796701266 0.05794618562934596 0.02256821973641484 0.006668010346333434 0.001769178227910466 0.0 0.0 0.0 0.00045349188753401187 0.0011365290514741286 0.003818289719730816 0.007681368761687213 0.015273158878923264 0.0188115153347442 0.026352917464476468 0.009176212390965994 0.04619458721040904 0.11099353914026897 0.5889795872663957 0.9216298834357889 0.0008789904486770354 0.0008062078000604656 0.0004310972264212212 0.00023514394168430247 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.03304892113720089 0.404072469123361 0.3341955277861758 0.06568354104381516 0.012356254268982274 0.00024634127224069783 0.0 0.0 0.0002015519500151164 0.005245949365671224 0.01914183658615786 0.03626255500688636 
box_met_009.pcd 0.09384871254905715 0.04771106537762037 0.009984923901598546 0.0020639896621039533 0.0 0.0005085191921125682 0.0018246865128745094 0.26096606681343926 0.5173494783191347 1.0 0.5758172202546186 0.5444864554417536 0.14381521010816503 0.007077390638460802 0.0025605436967550492 0.0 0.0 1.1965157461472194e-05 0.00409208385182349 0.021142433234421366 0.2347025461855078 0.30909591270221115 0.38087489231358285 0.32265243610605915 0.26790585814109313 0.3241480807887432 0.3762982195845697 0.3575248875275199 0.26340097635684884 0.10580190485306787 0.12001651191729683 0.21360797358093234 0.20366492773044892 0.03672106824925816 0.001423853737915191 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0016452091509524265 0.007968794869340481 0.007388484732459079 0.0031288886761749787 0.0003410069876519575 0.0 0.0 0.0 0.0 0.0 0.00019742509811429117 0.0012443763759931081 
