overlap PointCloud0.pcd PointCloud1.pcd PointCloud10.pcd PointCloud11.pcd PointCloud12.pcd PointCloud13.pcd PointCloud14.pcd PointCloud15.pcd PointCloud16.pcd PointCloud17.pcd PointCloud18.pcd PointCloud19.pcd PointCloud2.pcd PointCloud20.pcd PointCloud21.pcd PointCloud22.pcd PointCloud23.pcd PointCloud24.pcd PointCloud25.pcd PointCloud26.pcd PointCloud27.pcd PointCloud28.pcd PointCloud29.pcd PointCloud3.pcd PointCloud30.pcd PointCloud31.pcd PointCloud32.pcd PointCloud33.pcd PointCloud34.pcd PointCloud35.pcd PointCloud36.pcd PointCloud37.pcd PointCloud38.pcd PointCloud39.pcd PointCloud4.pcd PointCloud40.pcd PointCloud41.pcd PointCloud42.pcd PointCloud43.pcd PointCloud44.pcd PointCloud5.pcd PointCloud6.pcd PointCloud7.pcd PointCloud8.pcd PointCloud9.pcd 
PointCloud0.pcd 1.0 0.6712722401667945 0.11146280072162387 0.05508593589646642 0.010999902775227128 0.008104765094145988 0.0044588361114411956 0.02530004645183593 0.004032127386057968 0.0033596560403590836 0.002908641121757824 0.0002673681253983515 0.4296497747626095 0.0 0.0 0.0 0.0 0.0 0.0005212328101200185 0.005179919843576143 0.005125906080869405 0.031238859661441735 0.014337953310503516 0.2484714105153993 0.0042481824368849185 0.0016636238913675205 0.00034298739318778425 0.0 0.0 0.0 0.0 0.015269690717194742 0.01568559669003662 0.02229958193347665 0.13650898248873813 0.021748641553867926 0.02275869891648392 0.034379759962838534 0.025083991401008976 0.019582689669327746 0.0665071460208061 0.05023820069353671 0.0578811481165401 0.15664261253767459 0.23593751687930084 
PointCloud1.pcd 0.8421699405011087 1.0 0.11352863806146508 0.06802535522431595 0.01874633702354298 0.01279374707974688 0.007205766774068962 0.007084230228029569 0.005444837262564854 0.005844557458427749 0.004923580520662563 0.00040242100799710474 0.6960506024161466 0.0 0.0 0.0 0.0 0.0 0.0008399525737389233 0.0084508411679392 0.008269886754947213 0.017263591161862372 0.017142054615822976 0.37573968492325643 0.006541366989053609 0.0013017914486886206 0.0005509656753785863 0.0008264485130678795 0.0 0.0 0.0 0.006865464445158659 0.0062955930848406115 0.011821454711431728 0.18944036471767062 0.017236583040520285 0.016982706699904662 0.024145260479826285 0.015948295652502706 0.0074434382418793335 0.08162664513219126 0.06250219440985905 0.06693422712209561 0.22747590200373252 0.263591161862372 
PointCloud10.pcd 0.10091959635416667 0.11713053385416666 1.0 0.6797227647569445 0.5549099392361111 0.3184326171875 0.2023654513888889 0.15060221354166667 0.11676161024305555 0.17213541666666668 0.09539659288194445 0.03570692274305556 0.14358723958333333 0.0 0.0 0.0 0.0 0.0 0.10599229600694444 0.25734049479166665 0.24842936197916668 0.2875705295138889 0.3017116970486111 0.19379069010416666 0.1597629123263889 0.025276692708333333 0.018264431423611113 0.016845703125 0.03390842013888889 0.043299696180555555 0.04577365451388889 0.03242730034722222 0.039778645833333334 0.16448838975694444 0.6174072265625 0.29232584635416664 0.2845404730902778 0.0021538628472222224 0.0018093532986111112 0.00037706163194444446 0.6688232421875 0.718994140625 0.7352159288194444 0.6898166232638889 0.7244818793402777 
PointCloud11.pcd 0.13496746696666648 0.17094310640438318 0.6734256770278383 1.0 0.6938838979063113 0.5117340674675075 0.3711686471342265 0.2865205609852398 0.22456987706137196 0.3243108026978349 0.23326698721935865 0.13740406406005765 0.1819497103667606 0.02989902049337711 0.026705212316579137 0.028460319434904187 0.028508997290266052 0.03785784984504216 0.19327001606369226 0.4881253076170026 0.49387199887500066 0.5237872453201651 0.5331144632725582 0.2074812455040592 0.2856578812152156 0.05194197599640866 0.02873616061528809 0.024568795331252807 0.050432962480190816 0.06289449345282845 0.06798132933814342 0.05240441562234638 0.08292002228364045 0.28428137963859396 0.7132874319186107 0.5094813644943723 0.3962052907420128 0.034431469692626386 0.022202510695606553 0.019238570169128503 0.7404767184635105 0.644968061918232 0.5476826636522454 0.5476664377004581 0.6600041105744527 
PointCloud12.pcd 0.08280164352894603 0.1078613647842527 0.6795391566676222 0.7852956031505521 1.0 0.6365343926177703 0.4116876202956714 0.31779625155275265 0.24812372879042277 0.5031573774519841 0.13709270103880858 0.1292026700520087 0.12680016926710075 0.021182958625114323 0.021035532440585883 0.02017827647869828 0.017961423481715057 0.02824576490983797 0.14573897374994882 0.5635420505890222 0.5766520605539402 0.5867098024762138 0.5819867043422472 0.18788375172338478 0.46746932033798816 0.05118964740570867 0.030377984356443753 0.02548834923625046 0.05586906370722252 0.07829695455724367 0.08652005951649672 0.0557980807294866 0.08655828111989299 0.46945684371459384 0.7984875165513193 0.5769496430375254 0.24127387143890686 0.03468337496757989 0.021103785303793494 0.017581937562280738 0.768013978186385 0.5965873568396194 0.5632362777618521 0.6597867780553395 0.6924116466685778 
PointCloud13.pcd 0.04280875662191557 0.05048895050996596 0.5891341905092018 0.7679648032052664 0.8413551420999626 1.0 0.659145680777954 0.4560517689828246 0.319833404749493 0.5395513609554663 0.14944991361828835 0.27166434222987634 0.06512062052909821 0.02816889876281738 0.02760393780516762 0.026031872531707412 0.023275299743174754 0.038908615518140156 0.2901524848729657 0.6895034620916656 0.7179179960534612 0.7252433835429876 0.7091542780099181 0.10062855318138522 0.4508279270845558 0.11461611312319697 0.06327835653676203 0.05127771242668472 0.1629352860421892 0.27934453611792676 0.31331588413660594 0.15549253951315103 0.24487645914131392 0.47644767833797763 0.8085546551964127 0.7118153259988482 0.3475465137542065 0.05710745448243299 0.03133213426965832 0.024664503257395668 0.8311258007025166 0.6489409029004058 0.6440964309205588 0.6052860694820099 0.5846690884477765 
PointCloud14.pcd 0.008518203726814994 0.010097043508198133 0.38250419589447865 0.7335203554675732 0.763211688255799 0.7909287988983087 1.0 0.7040791625424969 0.47398545423247407 0.5309716185393983 0.1790006240048199 0.36384591384430004 0.01143381245427551 0.0706900632611783 0.06156399277015105 0.05521904720919223 0.04724953737573697 0.10124478202866119 0.372568532943151 0.723732624693377 0.7329071093514653 0.745050996255971 0.8106387442440934 0.015274669707793604 0.4448078495502862 0.2419444205362138 0.14754486379481 0.13353972113439772 0.41586424667556054 0.4056407883978138 0.4073003184576322 0.42707481602616515 0.48118302706889876 0.520947196281792 0.729445496406593 0.7504733829668202 0.35732344967078367 0.19830711795842837 0.09176636398846667 0.06158819985368163 0.7483324009123381 0.45521151611653826 0.4104526186685028 0.3232049102724104 0.2563691526444894 
PointCloud15.pcd 0.013453446973783579 0.0067887582263458845 0.12971464019851117 0.3909321393893624 0.40274301434890497 0.4269257740856619 0.5054698457223001 1.0 0.5179091595641385 0.3309796094508577 0.20003236595101953 0.28712104865681304 0.005869025784874312 0.154382889200561 0.21249865141870752 0.16611284928255476 0.13601251483439422 0.26434620778940554 0.29746466717013703 0.3848284604595965 0.4201585931599957 0.6479366706225052 0.7764187075196893 0.007891897723594778 0.5430925666199159 0.3965152659402309 0.2501537382673428 0.24218901715395405 0.35120832883806236 0.29159294422267773 0.3546660912719819 0.40486568130326894 0.5433568885532419 0.5716366382565541 0.35643542992771604 0.6578649260977452 0.4708814327327651 0.3681492070342 0.26291131729420647 0.19425774085661884 0.3707330887905923 0.2503290538353652 0.1690203905491423 0.05819937425828029 0.04330024813895782 
PointCloud16.pcd 0.003295220586258984 0.003120514763985873 0.03101969069006112 0.5270390857241153 0.6123761604498271 0.6345503609691067 0.6668978159084434 0.7801851344159719 1.0 0.6376251834411134 0.5104366570444075 0.6233315593972918 0.00371451455971445 0.3397732587205083 0.5690598676536202 0.5647970455901563 0.4859670907986475 0.6228235686217592 0.6370930026286507 0.6567299370521483 0.7160788487692646 0.7657383068049262 0.6719589091906014 0.004485907959597263 0.5065098077160842 0.15385938600310708 0.07501599230219269 0.08892257575513232 0.08343681293575664 0.062402231934074084 0.06400146215334333 0.10947604380009353 0.22126358001795438 0.5948330081117257 0.5730109070188736 0.6306208238589022 0.50611739156144 0.25811306960817515 0.15403946738914243 0.12087492675794374 0.49840883312637413 0.2800883742682514 0.03808318147365705 0.020792680632381322 0.017376509861471722 
PointCloud17.pcd 0.002382030540364566 0.002888446482016875 0.03444700183006396 0.2257061019101795 0.3116387244748949 0.36575556454659697 0.44545042884588076 0.5091570184158559 0.6963433553673392 1.0 0.7579787305304506 0.638960266444451 0.0036092183778077282 0.5454635581480717 0.7061313841231903 0.7382472649519977 0.7387215275005292 0.7540613754685688 0.7597203726578262 0.7960135151429084 0.7708454466776167 0.40596070319470756 0.5130047077926427 0.004678318699073715 0.21197392359817904 0.031593388190594596 0.025058211038795748 0.02373188357256351 0.02976064478271005 0.023530924865558626 0.027362537545785093 0.03350919453070783 0.03929680529244851 0.09359048902631487 0.33915667008743045 0.10220491893325759 0.07905179643686815 0.033436849396186075 0.026561382167192286 0.019659120443931182 0.18590288067607869 0.14945433012424608 0.03490518768203509 0.019511750725460932 0.018855285615911644 
